home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
0.4,.300,16,.681,4.57,1.44,107,0.5625,.341,8,.709,3.24,1.08,145,1,0
0.5333333333333333,.344,28,.833,4.67,1.30,157,0.7333333333333333,.301,18,.704,3.20,1.22,133,1,0
0.5333333333333333,.306,18,.679,3.60,1.35,124,0.5,.286,8,.605,3.14,1.20,138,1,0
0.5,.272,14,.592,2.87,0.92,121,0.3125,.273,10,.563,4.40,1.30,137,1,1
0.4666666666666667,.330,14,.739,3.53,1.13,140,0.26666666666666666,.306,15,.667,4.42,1.40,132,1,1
0.5333333333333333,.328,11,.703,4.07,1.39,105,0.4,.321,18,.725,5.15,1.57,119,1,1
0.4666666666666667,.310,12,.632,3.69,1.07,166,0.6,.306,30,.764,4.87,1.39,113,1,1
0.3125,.278,12,.613,3.85,1.22,133,0.6,.329,18,.746,3.56,1.11,117,1,1
0.26666666666666666,.272,10,.572,3.55,1.28,121,0.47058823529411764,.328,12,.703,3.75,1.30,134,1,0
0.4666666666666667,.350,18,.785,4.48,1.20,116,0.6,.327,14,.698,3.52,1.26,146,1,1
0.375,.309,20,.709,4.91,1.55,147,0.6666666666666666,.304,12,.672,2.30,1.20,138,1,0
0.8125,.348,15,.772,2.68,1.04,139,0.2,.283,9,.616,5.02,1.52,101,1,1
0.5,.308,19,.667,3.54,1.28,135,0.5625,.267,18,.626,3.85,1.17,129,1,1
0.5625,.348,17,.784,4.34,1.16,136,0.5,.310,17,.688,4.93,1.39,133,1,1
0.6470588235294118,.304,29,.727,3.84,1.31,157,0.6111111111111112,.348,25,.787,4.02,1.35,137,1,0
0.35294117647058826,.287,10,.589,4.26,1.26,144,0.375,.313,18,.704,5.50,1.62,125,1,1
0.5625,.326,15,.699,3.80,1.27,157,0.75,.303,21,.725,3.26,1.23,146,1,0
0.5,.339,18,.774,3.37,1.10,154,0.4444444444444444,.321,13,.691,4.41,1.36,143,1,1
0.5625,.343,32,.844,4.44,1.26,165,0.47058823529411764,.280,9,.591,3.21,1.21,144,1,1
0.5294117647058824,.335,9,.701,3.52,1.08,149,0.3125,.306,18,.678,4.39,1.36,138,1,0
0.29411764705882354,.274,12,.601,3.86,1.21,144,0.6875,.302,13,.671,2.22,1.16,151,1,0
0.47058823529411764,.304,17,.670,4.93,1.38,142,0.625,.327,19,.742,3.40,1.08,128,1,0
0.5,.353,19,.800,4.39,1.19,121,0.4375,.308,13,.631,3.98,1.12,174,1,1
0.8235294117647058,.354,18,.790,2.70,1.07,148,0.5789473684210527,.347,26,.788,4.37,1.40,143,1,1
0.6666666666666666,.310,31,.741,3.79,1.30,166,0.1875,.284,10,.622,4.99,1.54,104,1,1
0.3333333333333333,.280,10,.573,4.19,1.26,148,0.4117647058823529,.313,19,.700,5.17,1.55,135,1,0
0.5294117647058824,.280,15,.607,2.93,0.94,133,0.47058823529411764,.308,21,.667,3.82,1.32,141,1,1
0.5,.326,11,.700,4.44,1.40,115,0.5882352941176471,.348,20,.793,4.32,1.16,147,1,0
0.5882352941176471,.330,17,.717,3.81,1.26,165,0.7058823529411765,.302,21,.717,3.44,1.26,148,1,1
0.375,.298,17,.680,4.66,1.45,111,0.5625,.310,19,.691,3.56,1.34,136,1,0
0.47058823529411764,.336,19,.765,3.58,1.13,165,0.47368421052631576,.323,16,.706,4.38,1.35,153,1,0
0.5882352941176471,.342,32,.829,4.29,1.23,174,0.4444444444444444,.276,10,.588,3.28,1.22,153,1,1
0.5555555555555556,.331,11,.701,3.49,1.08,158,0.29411764705882354,.305,21,.685,4.52,1.35,143,1,1
0.3333333333333333,.282,13,.620,3.81,1.19,151,0.6470588235294118,.299,15,.672,2.34,1.19,156,1,1
0.25,.272,11,.572,4.10,1.31,125,0.4117647058823529,.313,23,.729,4.80,1.52,155,1,0
0.5,.307,18,.678,4.65,1.33,152,0.5882352941176471,.317,19,.715,3.40,1.12,133,1,1
0.47058823529411764,.348,19,.786,4.25,1.18,129,0.47058823529411764,.308,14,.634,3.75,1.11,179,1,0
0.5882352941176471,.269,18,.630,3.61,1.14,140,0.5625,.302,30,.746,4.79,1.38,121,1,1
0.7777777777777778,.347,19,.774,2.59,1.09,156,0.6,.345,26,.781,4.12,1.37,154,1,0
0.6842105263157895,.320,32,.753,3.70,1.29,176,0.17647058823529413,.283,10,.616,5.09,1.58,109,1,1
0.5789473684210527,.331,12,.704,3.36,1.07,177,0.2777777777777778,.301,22,.674,4.46,1.34,150,1,1
0.3684210526315789,.284,13,.621,3.74,1.20,162,0.6111111111111112,.301,15,.673,2.38,1.20,168,1,1
0.5263157894736842,.307,21,.690,4.46,1.32,161,0.5555555555555556,.317,20,.711,3.51,1.13,144,1,1
0.5,.348,20,.783,4.07,1.15,137,0.4444444444444444,.300,14,.617,3.73,1.13,181,1,1
0.7894736842105263,.349,19,.768,2.56,1.07,165,0.5714285714285714,.340,27,.771,4.14,1.38,158,1,1
0.4117647058823529,.300,20,.692,4.44,1.43,118,0.5294117647058824,.308,20,.687,3.92,1.35,141,1,1
0.3684210526315789,.283,12,.585,4.02,1.22,151,0.3888888888888889,.306,19,.681,5.25,1.54,141,1,1
0.5,.284,15,.613,2.99,0.97,141,0.5,.310,23,.679,3.78,1.32,153,1,0
0.47058823529411764,.324,12,.696,4.53,1.41,124,0.6111111111111112,.347,24,.803,4.19,1.16,157,1,0
0.5555555555555556,.329,18,.711,4.16,1.33,175,0.7222222222222222,.313,21,.730,3.47,1.27,161,1,0
0.4444444444444444,.330,19,.746,3.44,1.12,172,0.5,.320,17,.702,4.16,1.33,166,1,0
0.6111111111111112,.343,33,.828,4.22,1.21,180,0.42105263157894735,.274,10,.582,3.33,1.24,162,1,1
